IDX,NORMAN_SusDat_ID,DTXSID,concentration_value,concentration_unit,time_point,IDX_l,station_water_combined,lat,lon,station_name_n,country,water_body_name_n,river_basin_name_n,COORDS,EARTH,EUROPE,MARINE,DETECTED,AGGREGATED,DTXSID_AVAILABLE
78380,NS00010095,DTXSID2021781,0,mg/l,2006-08-02T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
79431,NS00009319,DTXSID5046011,0,mg/l,,983,t16 segre torres segre_segre,,,t16 segre torres segre,Spain,segre,ebro,False,False,False,False,False,False,True
79661,NS00000037,DTXSID3023425,0,mg/l,,984,r18 ebre campredo_ebro,,,r18 ebre campredo,Spain,ebro,ebro,False,False,False,False,False,False,True
68865,NS00000212,DTXSID6022923,0,mg/l,2009-06-29T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
84111,NS00004478,DTXSID1058680,0,mg/l,2009-12-09T00:00:00Z,1087,vn bukovec pritok_ida,48.7247450473,21.0820805881,vn bukovec pritok,Slovakia,ida,danube,True,True,True,False,False,False,True
61038,NS00000528,DTXSID7021100,0,mg/l,2003-09-16T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
88179,NS00000251,DTXSID8052853,0,mg/l,2009-05-20T00:00:00Z,1022,kosicke olsany_torysa,48.7311022078,21.3366808359,kosicke olsany,Slovakia,torysa,danube,True,True,True,False,False,False,True
85640,NS00008865,DTXSID7020182,0,mg/l,2009-07-14T00:00:00Z,1009,gocovo pod slana rkm 694 danube sk_slana,48.7524333245,20.4188639081,gocovo pod slana rkm 694 danube sk,Slovakia,slana,danube,True,True,True,False,False,False,True
77143,NS00001890,DTXSID7021310,0,mg/l,2002-06-11T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
74462,NS00010010,DTXSID7023437,9.99999977648258E-06,mg/l,2005-05-09T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,True,False,True
75282,NS00000206,DTXSID8041117,0,mg/l,2006-03-13T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
63989,NS00008451,DTXSID0032578,0,mg/l,2010-02-10T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
87554,NS00008895,DTXSID3034872,0,mg/l,2009-10-07T00:00:00Z,1070,sered_vah,48.2944939536,17.7595798379,sered,Slovakia,vah,danube,True,True,True,False,False,False,True
72432,NS00000229,DTXSID1023158,0.0003,mg/l,2005-09-28T00:00:00Z,974,lobith 860_rhine,,,lobith 860,Netherlands,rhine,rhine,False,False,False,False,True,False,True
71759,NS00000223,DTXSID6023157,0.00007,mg/l,2008-02-11T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,True,False,True
73297,NS00000027,DTXSID1045166,0,mg/l,2008-11-17T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
81819,NS00005486,DTXSID4058601,0,mg/l,2009-10-12T00:00:00Z,1089,vn starina pritok_cirocha,49.0796512764,22.2751071893,vn starina pritok,Slovakia,cirocha,danube,True,True,True,False,False,False,True
77347,NS00000009,DTXSID2046701,0,mg/l,2009-03-11T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
88587,NS00000251,DTXSID8052853,0,mg/l,2009-09-10T00:00:00Z,1057,partizanske_nitrica,48.6216209953,18.3536790683,partizanske,Slovakia,nitrica,danube,True,True,True,False,False,False,True
69946,NS00010299,DTXSID4022367,0,mg/l,2007-03-14T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
73883,NS00000213,DTXSID70860274,0,mg/l,2007-10-24T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
65941,NS00000219,DTXSID3029869,0.00003,mg/l,2010-03-09T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,True,False,True
85809,NS00008865,DTXSID7020182,0,mg/l,2009-08-19T00:00:00Z,1023,kralovany_orava,,,kralovany,Slovakia,orava,danube,False,False,False,False,False,False,True
74900,NS00000287,DTXSID6021117,0,mg/l,2007-08-01T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
86790,NS00008895,DTXSID3034872,0,mg/l,2008-01-21T00:00:00Z,1005,cierny brod dolny dudvah rkm 17 danube sk_dolny dudvah,48.1451449673,17.6594757446,cierny brod dolny dudvah rkm 17 danube sk,Slovakia,dolny dudvah,danube,True,True,True,False,False,False,True
69169,NS00009446,DTXSID1022924,0,mg/l,2004-08-30T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
65934,NS00000219,DTXSID3029869,0,mg/l,2009-08-25T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
86801,NS00008895,DTXSID3034872,0,mg/l,2009-04-08T00:00:00Z,1006,driencany blh rkm 263 danube sk_blh,48.4833392824,20.0750559404,driencany blh rkm 263 danube sk,Slovakia,blh,danube,True,True,True,False,False,False,True
85057,NS00010095,DTXSID2021781,0,mg/l,2009-04-01T00:00:00Z,1061,piwniczna_poprad,49.4199150913,20.7220902851,piwniczna,Slovakia,poprad,vistula,True,True,True,False,False,False,True
69625,NS00000203,DTXSID4022991,0,mg/l,2009-03-09T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
82638,NS00004478,DTXSID1058680,0,mg/l,2009-04-07T00:00:00Z,1025,krusovce_bebrava,48.5972596696,18.2310021272,krusovce,Slovakia,bebrava,danube,True,True,True,False,False,False,True
64661,NS00009440,DTXSID3023897,0,mg/l,2007-08-28T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
84540,NS00010095,DTXSID2021781,0,mg/l,2009-03-03T00:00:00Z,1017,hul_zitava,48.0957601469,18.2531680609,hul,Slovakia,zitava,danube,True,True,True,False,False,False,True
65803,NS00000219,DTXSID3029869,0.00005,mg/l,2002-03-15T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,True,False,True
61437,NS00003145,DTXSID1020855,0,mg/l,2007-12-19T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
88156,NS00000251,DTXSID8052853,0,mg/l,2009-05-13T00:00:00Z,1020,komoca_nitra,,,komoca,Slovakia,nitra,danube,False,False,False,False,False,False,True
60579,NS00000063,DTXSID4037580,0,mg/l,2009-08-26T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
75461,NS00000206,DTXSID8041117,0,mg/l,2010-03-10T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
68321,NS00000683,DTXSID4020371,0,mg/l,2005-07-06T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
73178,NS00000216,DTXSID6020771,0,mg/l,2008-11-19T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
64817,NS00075580,DTXSID8022377,0,mg/l,2005-01-11T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
80915,NS00005486,DTXSID4058601,0,mg/l,2009-03-18T00:00:00Z,1013,hoste_dolny dudvah,48.2608333218,17.646111145,hoste,Slovakia,dolny dudvah,danube,True,True,True,False,False,False,True
62778,NS00000220,DTXSID8024280,0,mg/l,2010-02-10T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
75333,NS00000206,DTXSID8041117,0,mg/l,2010-03-08T00:00:00Z,977,andijk rhine rhine nl_rhine,,,andijk rhine rhine nl,Netherlands,rhine,rhine,False,False,False,False,False,False,True
78466,NS00008118,DTXSID8040698,0,mg/l,2008-04-09T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,False,False,True
82328,NS00004478,DTXSID1058680,0,mg/l,2009-04-20T00:00:00Z,1012,horny turcek_turiec 1,48.7697499752,18.9612778545,horny turcek,Slovakia,turiec,danube,True,True,True,False,False,False,True
79757,NS00000209,DTXSID8045191,0.0000024,mg/l,,980,logrono downstream_ebro,42.415556,0.205556,logrono downstream,Spain,iregua,ebro,True,True,True,False,True,False,True
76994,NS00000268,DTXSID8026064,0.00002,mg/l,2007-01-17T00:00:00Z,975,nieuwegein 950_rhine,,,nieuwegein 950,Netherlands,rhine,rhine,False,False,False,False,True,False,True
77598,NS00002545,DTXSID1045409,0,mg/l,2007-12-18T00:00:00Z,976,nieuwersluis_rhine,,,nieuwersluis,Netherlands,rhine,rhine,False,False,False,False,False,False,True
