IDX,NORMAN_SusDat_ID,DTXSID,concentration_value,concentration_unit,time_point,IDX_l,station_water_combined,lat,lon,station_name_n,country,water_body_name_n,river_basin_name_n,COORDS,EARTH,EUROPE,MARINE,DETECTED,AGGREGATED,DTXSID_AVAILABLE
369314,NS00000261,DTXSID0037495,0,mg/l,2008-03-27T00:00:00Z,1501,tailfer m520_NA,50.382778,4.870278,tailfer m520,Netherlands,meuse,meuse,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
861360,NS00000247,DTXSID0020442,0,mg/l,2011-01-12T00:00:00Z,1589,molinons 1_la vanne,48.2321775563889,3.53640122027778,molinons 1,France,la vanne,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
712929,NS00002157,DTXSID5021544,0,mg/l,2010-10-07T00:00:00Z,2029,monceauxenbessin 1_laure,49.2410000366667,0.694733563888889,monceauxenbessin 1,France,laure,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
692764,NS00000361,DTXSID5032442,0,mg/l,2010-11-24T00:00:00Z,2001,ouvillelabientournee 1_loudon,49.0423400608333,0.0228838541666667,ouvillelabientournee 1,France,loudon,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
290224,NS00000572,DTXSID8023397,0,mg/l,2006-02-20T00:00:00Z,1493,brakel m845_maas,NA,NA,brakel m845,Netherlands,meuse,meuse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
885896,NS00000310,DTXSID8037594,0,mg/l,2011-12-12T00:00:00Z,1610,gylesnonains 2_louanne,47.9482107786111,2.84644838555556,gylesnonains 2,France,louanne,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
160000,NS00008448,DTXSID3024239,0,mg/l,2008-09-17T00:00:00Z,1273,lorbiquet a saintpierredemailloc_NA,452850,2454300,lorbiquet a saintpierredemailloc,France,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE
702193,NS00001734,DTXSID2034627,0,mg/l,2010-07-07T00:00:00Z,2014,sevrai 1_la maire,48.7205674727778,0.161200055,sevrai 1,France,la maire,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
185155,NS00010721,DTXSID5023902,0.000044,mg/l,2003-12-16T00:00:00Z,1455,schelde ringvaart_NA,112369.777777778,184846.111111111,schelde ringvaart,Belgium,scheldt,scheldt,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
248060,NS00008490,DTXSID5037494,0,mg/l,2002-06-25T00:00:00Z,1480,desselse neet werbeek neet_NA,204537,217231,desselse neet werbeek neet,Belgium,scheldt,scheldt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
884690,NS00010822,DTXSID1020431,0,mg/l,2011-02-07T00:00:00Z,1610,gylesnonains 2_louanne,47.9482107786111,2.84644838555556,gylesnonains 2,France,louanne,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
546225,NS00000487,DTXSID5020449,0,mg/l,2010-07-13T00:00:00Z,1777,tergnier 1_le rieu,49.6678376022222,3.29947089027778,tergnier 1,France,le rieu,seine normandie,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
