DTXSID,tox_value_mg_L,tox_S_AD,tox_stat,tox_source,species,tox_reliability,neutral_fraction_jchem,tox_source_origin
DTXSID001028603,18.83,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID001028603,6475,2,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID001028603,0.01746,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID001028603,3.463,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID001028603,13790,2,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID001028603,0.01037,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID00146058,0.3795,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00146058,14.42,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00146058,0.01029,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00146058,0.9607,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00146058,12.15,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00146058,0.00001635,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00146058,1.601,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00146058,19.12,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00146058,0.00002068,3,qsar,BOL,fish,NA,1,BOL
DTXSID00149908,10.1,3,qsar,IRFMN,algae,NA,0.87,IRFMN
DTXSID00149908,926.5,3,qsar,ECOSAR_BASELINE,algae,NA,0.87,ECOSAR_BASELINE
DTXSID00149908,6.079,3,qsar,VAN_LEEUWEN,algae,NA,0.87,VAN_LEEUWEN
DTXSID00149908,133,3,qsar,IRFMN,crustacean,NA,0.87,IRFMN
DTXSID00149908,2579,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.87,ECOSAR_BASELINE
DTXSID00149908,0.006735,3,qsar,BOL,crustacean,NA,0.87,BOL
DTXSID00149908,9.833,3,qsar,IRFMN,fish,NA,0.87,IRFMN
DTXSID00149908,5418,3,qsar,ECOSAR_BASELINE,fish,NA,0.87,ECOSAR_BASELINE
DTXSID00149908,0.004143,3,qsar,BOL,fish,NA,0.87,BOL
DTXSID00150731,12.07,3,qsar,IRFMN,algae,NA,0.15,IRFMN
DTXSID00150731,276.3,3,qsar,ECOSAR_BASELINE,algae,NA,0.15,ECOSAR_BASELINE
DTXSID00150731,0.7583,3,qsar,VAN_LEEUWEN,algae,NA,0.15,VAN_LEEUWEN
DTXSID00150731,775.9,3,qsar,IRFMN,crustacean,NA,0.15,IRFMN
DTXSID00150731,480.9,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.15,ECOSAR_BASELINE
DTXSID00150731,0.0009679,3,qsar,BOL,crustacean,NA,0.15,BOL
DTXSID00150731,4.822,3,qsar,IRFMN,fish,NA,0.15,IRFMN
DTXSID00150731,901.9,3,qsar,ECOSAR_BASELINE,fish,NA,0.15,ECOSAR_BASELINE
DTXSID00150731,0.0007904,3,qsar,BOL,fish,NA,0.15,BOL
DTXSID00155362,10.33,3,qsar,IRFMN,algae,NA,0.32,IRFMN
DTXSID00155362,960.2,2,qsar,ECOSAR_BASELINE,algae,NA,0.32,ECOSAR_BASELINE
DTXSID00155362,4.421,3,qsar,VAN_LEEUWEN,algae,NA,0.32,VAN_LEEUWEN
DTXSID00155362,11.9,3,qsar,IRFMN,crustacean,NA,0.32,IRFMN
DTXSID00155362,2208,2,qsar,ECOSAR_BASELINE,crustacean,NA,0.32,ECOSAR_BASELINE
DTXSID00155362,0.005188,3,qsar,BOL,crustacean,NA,0.32,BOL
DTXSID00155362,5.833,3,qsar,IRFMN,fish,NA,0.32,IRFMN
DTXSID00155362,4430,2,qsar,ECOSAR_BASELINE,fish,NA,0.32,ECOSAR_BASELINE
DTXSID00155362,0.003581,3,qsar,BOL,fish,NA,0.32,BOL
DTXSID00157826,12.17,3,qsar,IRFMN,algae,NA,0.44,IRFMN
DTXSID00157826,115.1,2,qsar,ECOSAR_BASELINE,algae,NA,0.44,ECOSAR_BASELINE
DTXSID00157826,0.1843,3,qsar,VAN_LEEUWEN,algae,NA,0.44,VAN_LEEUWEN
DTXSID00157826,4.031,3,qsar,IRFMN,crustacean,NA,0.44,IRFMN
DTXSID00157826,149.8,2,qsar,ECOSAR_BASELINE,crustacean,NA,0.44,ECOSAR_BASELINE
DTXSID00157826,0.0002567,3,qsar,BOL,crustacean,NA,0.44,BOL
DTXSID00157826,5.672,3,qsar,IRFMN,fish,NA,0.44,IRFMN
DTXSID00157826,261.9,2,qsar,ECOSAR_BASELINE,fish,NA,0.44,ECOSAR_BASELINE
DTXSID00157826,0.0002497,3,qsar,BOL,fish,NA,0.44,BOL
DTXSID00159825,0.3913,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00159825,0.5233,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00159825,0.00008081,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00159825,1.142,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00159825,0.1933,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00159825,0.0000001646,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00159825,0.9555,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00159825,0.2492,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00159825,0.0000003424,3,qsar,BOL,fish,NA,1,BOL
DTXSID00161160,14.77,3,qsar,IRFMN,algae,NA,0.63,IRFMN
DTXSID00161160,153.1,2,qsar,ECOSAR_BASELINE,algae,NA,0.63,ECOSAR_BASELINE
DTXSID00161160,0.254,3,qsar,VAN_LEEUWEN,algae,NA,0.63,VAN_LEEUWEN
DTXSID00161160,14.62,3,qsar,IRFMN,crustacean,NA,0.63,IRFMN
DTXSID00161160,203.2,2,qsar,ECOSAR_BASELINE,crustacean,NA,0.63,ECOSAR_BASELINE
DTXSID00161160,0.0003518,3,qsar,BOL,crustacean,NA,0.63,BOL
DTXSID00161160,6.644,3,qsar,IRFMN,fish,NA,0.63,IRFMN
DTXSID00161160,356.9,2,qsar,ECOSAR_BASELINE,fish,NA,0.63,ECOSAR_BASELINE
DTXSID00161160,0.0003383,3,qsar,BOL,fish,NA,0.63,BOL
DTXSID00167107,2.45,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00167107,550.5,2,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00167107,2.701,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00167107,14.84,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00167107,1310,2,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00167107,0.003137,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00167107,7.376,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00167107,2650,2,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00167107,0.002121,3,qsar,BOL,fish,NA,1,BOL
DTXSID00177004,4.284,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00177004,49.27,2,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00177004,0.04942,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00177004,8.202,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00177004,49.86,2,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00177004,0.00007428,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00177004,3.791,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00177004,82.02,2,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00177004,0.00008412,3,qsar,BOL,fish,NA,1,BOL
DTXSID00184293,3.941,3,qsar,IRFMN,algae,NA,0.03,IRFMN
DTXSID00184293,12.05,2,qsar,ECOSAR_BASELINE,algae,NA,0.03,ECOSAR_BASELINE
DTXSID00184293,0.006664,3,qsar,VAN_LEEUWEN,algae,NA,0.03,VAN_LEEUWEN
DTXSID00184293,4.303,3,qsar,IRFMN,crustacean,NA,0.03,IRFMN
DTXSID00184293,8.849,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.03,ECOSAR_BASELINE
DTXSID00184293,0.00001103,3,qsar,BOL,crustacean,NA,0.03,BOL
DTXSID00184293,2.732,3,qsar,IRFMN,fish,NA,0.03,IRFMN
DTXSID00184293,13.47,2,qsar,ECOSAR_BASELINE,fish,NA,0.03,ECOSAR_BASELINE
DTXSID00184293,0.00001516,3,qsar,BOL,fish,NA,0.03,BOL
DTXSID00192353,0.3203,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID00192353,8.6,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID00192353,0.003738,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID00192353,0.2708,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID00192353,5.547,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID00192353,0.000006436,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID00192353,1.653,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID00192353,8.182,3,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID00192353,0.000009563,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID00193209,1.365,3,qsar,IRFMN,algae,NA,0.001,IRFMN
DTXSID00193209,4.059,3,qsar,ECOSAR_BASELINE,algae,NA,0.001,ECOSAR_BASELINE
DTXSID00193209,0.001691,3,qsar,VAN_LEEUWEN,algae,NA,0.001,VAN_LEEUWEN
DTXSID00193209,2.559,3,qsar,IRFMN,crustacean,NA,0.001,IRFMN
DTXSID00193209,2.559,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.001,ECOSAR_BASELINE
DTXSID00193209,0.000002931,3,qsar,BOL,crustacean,NA,0.001,BOL
DTXSID00193209,1.54,3,qsar,IRFMN,fish,NA,0.001,IRFMN
DTXSID00193209,3.754,3,qsar,ECOSAR_BASELINE,fish,NA,0.001,ECOSAR_BASELINE
DTXSID00193209,0.000004416,3,qsar,BOL,fish,NA,0.001,BOL
DTXSID00193825,1.39,3,qsar,IRFMN,algae,NA,0.04,IRFMN
DTXSID00193825,0.9379,3,qsar,ECOSAR_BASELINE,algae,NA,0.04,ECOSAR_BASELINE
DTXSID00193825,0.0001511,3,qsar,VAN_LEEUWEN,algae,NA,0.04,VAN_LEEUWEN
DTXSID00193825,0.01022,3,qsar,IRFMN,crustacean,NA,0.04,IRFMN
DTXSID00193825,0.3545,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.04,ECOSAR_BASELINE
DTXSID00193825,0.0000003057,3,qsar,BOL,crustacean,NA,0.04,BOL
DTXSID00193825,1.844,3,qsar,IRFMN,fish,NA,0.04,IRFMN
DTXSID00193825,0.4595,3,qsar,ECOSAR_BASELINE,fish,NA,0.04,ECOSAR_BASELINE
DTXSID00193825,0.0000006271,3,qsar,BOL,fish,NA,0.04,BOL
DTXSID00196255,1.378,0,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00196255,0.006874,0,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00196255,0.0000001046,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00196255,0.4164,0,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00196255,0.0007287,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00196255,3.104E-10,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00196255,1.041,0,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00196255,0.0006946,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00196255,0.000000001371,3,qsar,BOL,fish,NA,1,BOL
DTXSID00196977,4.119,3,qsar,IRFMN,algae,NA,0.25,IRFMN
DTXSID00196977,384.2,3,qsar,ECOSAR_BASELINE,algae,NA,0.25,ECOSAR_BASELINE
DTXSID00196977,1.268,3,qsar,VAN_LEEUWEN,algae,NA,0.25,VAN_LEEUWEN
DTXSID00196977,13.9,3,qsar,IRFMN,crustacean,NA,0.25,IRFMN
DTXSID00196977,738.4,3,qsar,ECOSAR_BASELINE,crustacean,NA,0.25,ECOSAR_BASELINE
DTXSID00196977,0.00157,3,qsar,BOL,crustacean,NA,0.25,BOL
DTXSID00196977,7.518,3,qsar,IRFMN,fish,NA,0.25,IRFMN
DTXSID00196977,1418,3,qsar,ECOSAR_BASELINE,fish,NA,0.25,ECOSAR_BASELINE
DTXSID00196977,0.001208,3,qsar,BOL,fish,NA,0.25,BOL
DTXSID00199685,0.2622,3,qsar,IRFMN,algae,NA,1,IRFMN
DTXSID00199685,7.796,3,qsar,ECOSAR_BASELINE,algae,NA,1,ECOSAR_BASELINE
DTXSID00199685,0.003904,3,qsar,VAN_LEEUWEN,algae,NA,1,VAN_LEEUWEN
DTXSID00199685,0.8944,3,qsar,IRFMN,crustacean,NA,1,IRFMN
DTXSID00199685,5.427,3,qsar,ECOSAR_BASELINE,crustacean,NA,1,ECOSAR_BASELINE
DTXSID00199685,0.00000657,3,qsar,BOL,crustacean,NA,1,BOL
DTXSID00199685,1.313,3,qsar,IRFMN,fish,NA,1,IRFMN
DTXSID00199685,8.155,3,qsar,ECOSAR_BASELINE,fish,NA,1,ECOSAR_BASELINE
DTXSID00199685,0.000009323,3,qsar,BOL,fish,NA,1,BOL
